spectra,site,site_name,state,plot,species,height,age,height_age,measurement_type,measurement,sample_name,sample_year,sample_type,instrumentation,calibration,wavelengths,column_units,project,pi,affiliation
AK01_ACRU_B_LC_REFL,AK,Adirondacks,New York,AK01,ACRU,B,NA,B,LC,REFL,AK01_ACRU_B,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_ACRU_M_LC_REFL,AK,Adirondacks,New York,AK01,ACRU,M,NA,M,LC,REFL,AK01_ACRU_M,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_ACRU_T_LC_REFL,AK,Adirondacks,New York,AK01,ACRU,T,NA,T,LC,REFL,AK01_ACRU_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_MN_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,M,N,MN,LC,REFL,AK01_PIRE_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_MO_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,M,O,MO,LC,REFL,AK01_PIRE_MO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_TN_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,T,N,TN,LC,REFL,AK01_PIRE_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_TO_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,T,O,TO,LC,REFL,AK01_PIRE_TO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_MN_LC_REFL,AK,Adirondacks,New York,AK01,PIST,M,N,MN,LC,REFL,AK01_PIST_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_MO_LC_REFL,AK,Adirondacks,New York,AK01,PIST,M,O,MO,LC,REFL,AK01_PIST_MO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_TN_LC_REFL,AK,Adirondacks,New York,AK01,PIST,T,N,TN,LC,REFL,AK01_PIST_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
